field,field_type,nar_inclusion,n_records,TP,FP,FN,TN,precision,recall,f1,exact_accuracy,fuzzy_accuracy
has_convulsions,bool,included,28,12,1,15,0,0.9231,0.4444,0.6,0.4286,0.4286
is_floppy,bool,included,28,12,0,16,0,1.0,0.4286,0.6,0.4286,0.4286
prescribed_caffeine_citrate,bool,included,7,3,2,2,0,0.6,0.6,0.6,0.4286,0.4286
mum_given_HBIG_treatment,bool,included,17,7,0,10,0,1.0,0.4118,0.5833,0.4118,0.4118
has_apnoea,bool,included,27,8,0,19,0,1.0,0.2963,0.4571,0.2963,0.2963
has_vomiting,bool,included,28,8,1,19,0,0.8889,0.2963,0.4444,0.2857,0.2857
mum_pmtct_status,bool,included,18,4,7,7,0,0.3636,0.3636,0.3636,0.2222,0.2222
has_birth_defects,bool,included,18,3,1,14,0,0.75,0.1765,0.2857,0.1667,0.1667
rapture_of_membrane,str,included,14,2,12,0,0,0.1429,1.0,0.25,0.1429,0.1429
baby_age_in_days,int,included,16,2,11,3,0,0.1538,0.4,0.2222,0.125,0.125
has_fever,bool,included,28,3,1,24,0,0.75,0.1111,0.1935,0.1071,0.1071
rhesus,str,included,24,1,21,2,0,0.0455,0.3333,0.08,0.0417,0.0417
capillary_refill_in_seconds,float,included,22,0,21,1,0,0.0,0.0,0.0,0.0,0.0
born_where,str,included,3,0,3,0,0,0.0,0.0,0.0,0.0,0.0
date,unknown,not included,28,0,0,28,0,0.0,0.0,0.0,0.0,0.0
has_diarhoea,bool,included,28,0,0,28,0,0.0,0.0,0.0,0.0,0.0
given_anti_D_medication,str,included,10,0,10,0,0,0.0,0.0,0.0,0.0,0.0
hospital,coded_int,not included,28,0,0,28,0,0.0,0.0,0.0,0.0,0.0
jaundice,str,included,26,0,4,0,22,0.0,0.0,0.0,0.8462,0.7692
parity,unknown,not included,3,0,0,3,0,0.0,0.0,0.0,0.0,0.0
pallor,str,included,27,0,2,0,25,0.0,0.0,0.0,0.9259,0.8519
systolic_blood_pressure,int,included,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0
sex,str,included,27,0,23,4,0,0.0,0.0,0.0,0.0,0.0
