field,nar_inclusion,n_records,mean_cer,median_cer,mean_wer,median_wer,avg_gt_chars,avg_gt_words
secondary_admission_diagnosis,included,11,0.9754,0.9167,1.0,1.0,14.363636363636363,1.2727272727272727
primary_admission_diagnosis,included,20,1.0824,0.8899,1.0,1.0,9.55,1.4
