record_id,llm_runtime_s,total_runtime_s,run_id,model
NAR_40000042,1607.2515861940046,1607.4392907669971,,qwen
NAR_40000043,80446.506833896,80446.659081953,,qwen
NAR_40000044,1318.4857830429974,1318.657310829003,,qwen
NAR_40000045,1293.2687236990023,1293.4163228920079,,qwen
NAR_41000001,1294.6060042479949,1294.7832741250022,,qwen
NAR_41000002,80534.276701485,80534.477153655,,qwen
NAR_41000003,1474.2012797859934,1474.3928355940006,,qwen
NAR_41000004,1605.2342945609998,1605.351802502002,,qwen
NAR_52000077,1133.0647309769993,1133.2348025999963,,qwen
NAR_52000078,1475.553066724009,1475.7055241310009,,qwen
NAR_52000079,1607.0985320319887,1607.263251425,,qwen
NAR_52000080,1473.549489462006,1473.716088162997,,qwen
NAR_53000067,1140.4639750750066,1140.6642218880006,,qwen
NAR_53000110,84383.088389451,84383.27433286399,,qwen
NAR_53000111,1293.1129252999963,1293.2893738179991,,qwen
NAR_53000137,1460.9552107769996,1461.1357093950064,,qwen
NAR_63000071,81766.58028828201,81766.7931345,,qwen
NAR_63000072,1160.0601381109882,1160.1987257309956,,qwen
NAR_63000073,1139.7308770029922,1139.9186349800002,,qwen
NAR_63000074,1164.1817223919934,1164.3428809350007,,qwen
NAR_72000023,1296.4229918530036,1296.5931803940039,,qwen
NAR_72000030,1477.4821566129976,1477.6383854779997,,qwen
NAR_72000033,1296.204450582998,1296.3935334980051,,qwen
NAR_72000034,84251.644149464,84251.816695405,,qwen
NAR_76000056,1157.964345454995,1158.1016624940094,,qwen
NAR_76000057,263.0004478369956,263.15608386199165,,qwen
NAR_76000058,857.1333000519953,857.2559723449958,,qwen
NAR_76000059,247.11500557100226,247.28279589000158,,qwen
